Far field
"Plane Wave Phi"[deg]	"1Bladde3D_Plastic_V2_er7_oneside261PEC [dBsm]"	"1Bladde3D_Plastic_V2_er7_oneside263PEC [dBsm]"	"1Bladde3D_Plastic_V2_er7_oneside250PEC [dBsm]"	"1Bladde3D_all_er5 [dBsm]"	"1Bladde3D_Plastic_V2_er7_oneside256PEC [dBsm]"	"1Bladde3D_Plastic_V2_er7_oneside251_259_260PEC [dBsm]"	
-1.75140000E+02	-3.17250745E+01	-4.24053148E+01	-4.28237597E+01	-8.82264663E+01	-5.31209800E+01	-4.16627319E+01	
-1.75104000E+02	-3.17615972E+01	-4.24214446E+01	-4.26880571E+01	-8.82121775E+01	-5.31429388E+01	-4.16619092E+01	
-1.75068000E+02	-3.17981781E+01	-4.24376042E+01	-4.25534091E+01	-8.81977657E+01	-5.31649253E+01	-4.16610886E+01	
-1.75032000E+02	-3.18347693E+01	-4.24538211E+01	-4.24197893E+01	-8.81832812E+01	-5.31869459E+01	-4.16602800E+01	
-1.74996000E+02	-3.18713876E+01	-4.24700769E+01	-4.22871663E+01	-8.81686868E+01	-5.32090048E+01	-4.16594841E+01	
-1.74960000E+02	-3.19080211E+01	-4.24863704E+01	-4.21555641E+01	-8.81540026E+01	-5.32310991E+01	-4.16586922E+01	
-1.74924000E+02	-3.19446889E+01	-4.25027243E+01	-4.20249455E+01	-8.81392044E+01	-5.32532259E+01	-4.16579043E+01	
-1.74888000E+02	-3.19813717E+01	-4.25191388E+01	-4.18953178E+01	-8.81243187E+01	-5.32753847E+01	-4.16571268E+01	
-1.74852000E+02	-3.20180864E+01	-4.25355558E+01	-4.17666313E+01	-8.81093601E+01	-5.32975763E+01	-4.16563543E+01	
-1.74816000E+02	-3.20548043E+01	-4.25520634E+01	-4.16389257E+01	-8.80942948E+01	-5.33198059E+01	-4.16555952E+01	
-1.74780000E+02	-3.20915537E+01	-4.25685740E+01	-4.15121156E+01	-8.80791391E+01	-5.33420674E+01	-4.16548441E+01	
-1.74744000E+02	-3.21283073E+01	-4.25851868E+01	-4.13862549E+01	-8.80638911E+01	-5.33643662E+01	-4.16540976E+01	
-1.74708000E+02	-3.21650884E+01	-4.26017813E+01	-4.12613237E+01	-8.80485495E+01	-5.33866981E+01	-4.16533663E+01	
-1.74672000E+02	-3.22018858E+01	-4.26184318E+01	-4.11372717E+01	-8.80331164E+01	-5.34090593E+01	-4.16526376E+01	
-1.74636000E+02	-3.22386819E+01	-4.26351778E+01	-4.10141138E+01	-8.80176035E+01	-5.34314653E+01	-4.16519163E+01	
-1.74600000E+02	-3.22754827E+01	-4.26519326E+01	-4.08918192E+01	-8.80019885E+01	-5.34539059E+01	-4.16512074E+01	
-1.74564000E+02	-3.23123141E+01	-4.26687437E+01	-4.07704036E+01	-8.79862945E+01	-5.34763794E+01	-4.16504915E+01	
-1.74528000E+02	-3.23491588E+01	-4.26855230E+01	-4.06498553E+01	-8.79705074E+01	-5.34988872E+01	-4.16498035E+01	
-1.74492000E+02	-3.23859948E+01	-4.27024281E+01	-4.05301322E+01	-8.79546414E+01	-5.35214270E+01	-4.16491060E+01	
-1.74456000E+02	-3.24228390E+01	-4.27193284E+01	-4.04112446E+01	-8.79386884E+01	-5.35440043E+01	-4.16484300E+01	
-1.74420000E+02	-3.24596960E+01	-4.27362769E+01	-4.02931974E+01	-8.79226754E+01	-5.35666170E+01	-4.16477576E+01	
-1.74384000E+02	-3.24965651E+01	-4.27532760E+01	-4.01759686E+01	-8.79065582E+01	-5.35892668E+01	-4.16470840E+01	
-1.74348000E+02	-3.25334320E+01	-4.27703053E+01	-4.00595171E+01	-8.78903526E+01	-5.36119532E+01	-4.16464333E+01	
-1.74312000E+02	-3.25703140E+01	-4.27873448E+01	-3.99438808E+01	-8.78740642E+01	-5.36346754E+01	-4.16457799E+01	
-1.74276000E+02	-3.26071684E+01	-4.28044391E+01	-3.98290095E+01	-8.78577076E+01	-5.36574317E+01	-4.16451512E+01	
-1.74240000E+02	-3.26440340E+01	-4.28216216E+01	-3.97149286E+01	-8.78412654E+01	-5.36802221E+01	-4.16445190E+01	
-1.74204000E+02	-3.26808982E+01	-4.28387949E+01	-3.96015993E+01	-8.78247428E+01	-5.37030529E+01	-4.16438911E+01	
-1.74168000E+02	-3.27177634E+01	-4.28559910E+01	-3.94890426E+01	-8.78081516E+01	-5.37259199E+01	-4.16432812E+01	
-1.74132000E+02	-3.27546348E+01	-4.28732634E+01	-3.93772009E+01	-8.77914877E+01	-5.37488208E+01	-4.16426687E+01	
-1.74096000E+02	-3.27914846E+01	-4.28905158E+01	-3.92661279E+01	-8.77747457E+01	-5.37717628E+01	-4.16420649E+01	
-1.74060000E+02	-3.28283246E+01	-4.29078318E+01	-3.91557822E+01	-8.77579282E+01	-5.37947387E+01	-4.16414734E+01	
-1.74024000E+02	-3.28651659E+01	-4.29251844E+01	-3.90461580E+01	-8.77410266E+01	-5.38177548E+01	-4.16408854E+01	
-1.73988000E+02	-3.29020003E+01	-4.29425450E+01	-3.89372359E+01	-8.77240819E+01	-5.38408018E+01	-4.16403109E+01	
